time,x,z,vx,vz,theta,omega,delta,T_cmd,delta_d
0.212,0.0289807116092869,-0.035040780422298,0.366713389068998,-0.527292161893713,-0.283013201107228,-1.82505403872161,0.146224440171438,4.71389164577968,0.237397832575401
0.214,0.0297177257029477,-0.03611270971046,0.371196066163777,-0.540600735886883,-0.28652823005609,-1.74944358606202,0.152281252732834,4.72114006639812,0.240828872299713
0.216,0.0304635710374417,-0.0372113483811911,0.375625187709435,-0.554155292465651,-0.289888809928374,-1.67022563477574,0.158229666606659,4.72495376724913,0.24405751579685
0.218,0.0312181560936352,-0.0383372181578031,0.379996855754333,-0.567948392234489,-0.293087652310034,-1.58741853948569,0.16406281058075,4.7252817633972,0.247080969622425
0.22,0.0319813893523941,-0.0394908407636079,0.384307172346831,-0.581972595797873,-0.296117468787022,-1.50104065481484,0.169773813442945,4.72207306990679,0.249896440332055
0.222,0.032753165258382,-0.04067269789904,0.38855213523557,-0.59621894128285,-0.298971193829426,-1.41112650562772,0.175356071845977,4.71527670184241,0.252501134481355
0.224,0.0335333221114515,-0.0418831111730245,0.392727324970302,-0.610672376906775,-0.301642653443866,-1.31777529775526,0.180804053902163,4.70484167426853,0.254892258625941
0.226,0.0343216841752526,-0.0431223621716091,0.396828217801062,-0.62531632840958,-0.304125896521097,-1.22110240726994,0.186112495588713,4.69071700224963,0.257067019321428
0.228,0.0351180757134352,-0.0443907324808414,0.400850289977883,-0.640134221531194,-0.306414971951873,-1.1212232102443,0.191276132882842,4.67285170085021,0.259022623123431
0.23,0.0359223209896493,-0.045688503686769,0.404789017750797,-0.655109482011549,-0.308503928626948,-1.01825308275083,0.19628970176176,4.6511970178604,0.260756323751626
0.232,0.0367342442675449,-0.0470159573754397,0.408639877369838,-0.670225535590576,-0.310386815437077,-0.912307400862043,0.201147938202681,4.62575555376088,0.26226645969908
0.234,0.037553669810772,-0.0483733751329012,0.412398345085038,-0.685465808008205,-0.312057681273013,-0.80350154065045,0.205845578182816,4.59658126172282,0.26355245423225
0.236,0.0383804218829805,-0.0497610385452011,0.416059897146432,-0.700813725004367,-0.313510575025511,-0.69195087818856,0.210377357679377,4.56373032764305,0.264613777781652
0.238,0.0392143247478204,-0.051179229198387,0.419620009804052,-0.716252712318993,-0.314739545585325,-0.577770789548879,0.214738012669577,4.52725893741841,0.265449900777806
0.24,0.0400552026689417,-0.0526282286785067,0.423074159307931,-0.731766195692014,-0.31573864184321,-0.461076650803916,0.218922279130628,4.48722327694574,0.266060293651227
0.242,0.0409028669479474,-0.054108254402216,0.426418033619164,-0.747336708674361,-0.316502423545073,-0.341996464841138,0.222925233363935,4.44367953212188,0.266444426832434
0.244,0.0417570770382524,-0.0556192671086028,0.429648167543093,-0.762943216060972,-0.31702749385744,-0.220708741807839,0.226743312967679,4.39668388884368,0.266601770751944
0.246,0.0426175794312246,-0.0571611633673633,0.432761307596121,-0.778563790457783,-0.31731096680199,-0.0974046186662706,0.23037329586423,4.34629253300797,0.266531795840274
0.248,0.043484120618232,-0.0587338397481936,0.43575420029465,-0.794176504470734,-0.317349956400401,0.0277247676213161,0.233811959975964,4.29256165051159,0.266233972527942
0.25,0.0443564470906425,-0.0603371928207899,0.438623592155084,-0.809759430705762,-0.317141576674352,0.15448828009267,0.237056083225251,4.23554925914527,0.265707813586733
0.252,0.0452343053398242,-0.0619711191548483,0.441366229693826,-0.825290641768804,-0.316682941645523,0.282694781785539,0.240102443534465,4.17535551025902,0.264953805637597
0.254,0.0461174418571448,-0.063635515320065,0.443978859427279,-0.840748210265799,-0.315971165335592,0.412153135737672,0.242947818825979,4.11212268876217,0.263973409150644
0.256,0.0470056031339725,-0.065330277886136,0.446458227871846,-0.856110208802685,-0.315003361766238,0.542672204986818,0.245588987022165,4.04599491145792,0.262768126937254
0.258,0.047898535661675,-0.0670553034227575,0.448801081543931,-0.871354709985399,-0.31377664495914,0.674060852570725,0.248022726045396,3.97711629514947,0.261339461808808
0.26,0.0487959859316204,-0.0688104884996257,0.451004166959936,-0.886459786419879,-0.312288128935977,0.806127941527142,0.250245813818045,3.90563095664003,0.259688916576684
0.262,0.0496976948874785,-0.070595657075695,0.453064760361227,-0.901403558770109,-0.310535583855318,0.938680433523051,0.25225539254429,3.83168301273279,0.257817994052263
0.264,0.0506033812821269,-0.0724103426669539,0.45498225688902,-0.916164339932254,-0.308519404423287,1.07151768474237,0.254050061555529,3.75541658023097,0.255728197046924
0.266,0.0515127583207448,-0.0742540061786491,0.456756581409495,-0.930720490860522,-0.306240641482901,1.20443714999826,0.255628784464966,3.67697577593777,0.253421028372047
0.268,0.0524255392085117,-0.0761261085160273,0.458387658788831,-0.945050372509124,-0.303700345877174,1.33723628410385,0.256990524885804,3.59650471665639,0.250897990839011
0.27,0.0533414371506071,-0.0780261105843354,0.459875413893206,-0.95913234583227,-0.300899568449123,1.46971254187232,0.258134246431247,3.51414849774926,0.248160620724928
0.272,0.0542601653522103,-0.07995347328882,0.461219771588799,-0.972944771784171,-0.297839360041762,1.60166337811681,0.259058912714498,3.43007472144122,0.245211224018728
0.274,0.0551814370185007,-0.081907657534728,0.46242065674179,-0.986466011319035,-0.294520771498106,1.73288624765047,0.259763487348761,3.34447349681952,0.242052876421163
0.276,0.0561049653546577,-0.0838881242273061,0.463477994218358,-0.999674425391073,-0.290944853661172,1.86317860528646,0.260246933947239,3.25753591153061,0.238688687098715
0.278,0.0570304635658607,-0.085894334271801,0.464391708884681,-1.01254837495449,-0.287112657373973,1.99233790583792,0.260508216123137,3.16945305322096,0.235121765217866
0.28,0.0579576448572892,-0.0879257485734596,0.465161725606939,-1.02506622096351,-0.283025233479526,2.12016160411801,0.260546297489656,3.08041600953706,0.2313552199451
0.282,0.05888622830521,-0.089981766118147,0.465788581404617,-1.03720734544922,-0.278684206115393,2.24645734054811,0.260360482377642,2.99061586812535,0.227392160446897
0.284,0.059815956470241,-0.0920615382142028,0.466275261910428,-1.04895521475028,-0.274093492597326,2.37107349798252,0.259951437988498,2.90024371663232,0.223235695889741
0.286,0.0607465777840873,-0.094164154250585,0.466625364910394,-1.06029431628223,-0.269257583535627,2.49386864488377,0.25932017224127,2.80949064270443,0.218888935440114
0.288,0.0616778406784541,-0.0962887036162514,0.466842488190534,-1.07120913746064,-0.264180969540593,2.61470134971437,0.258467693055002,2.71854773398816,0.214354988264498
0.29,0.0626094935850467,-0.09843427570016,0.466930229536867,-1.08168416570103,-0.258868141222526,2.73343018093685,0.257395008348738,2.62760609529824,0.209636986933579
0.292,0.0635412849355703,-0.100599959891269,0.466892186735415,-1.09170388841896,-0.253323589191726,2.84991370701373,0.256103126041524,2.53685722631975,0.20473860231472
0.294,0.0644729631617303,-0.102784845578536,0.466731957572197,-1.10125279302998,-0.247551804058492,2.96401049640755,0.254593054052405,2.4464930216081,0.19966404357196
0.296,0.0654042766952317,-0.104988022150919,0.466453139833233,-1.11031536694963,-0.241557276433124,3.07557911758082,0.252865800300424,2.35670539288697,0.194417543273542
0.298,0.0663349739677799,-0.107208578997376,0.466059331304544,-1.11887609759347,-0.235344496925923,3.18447813899607,0.250922372704627,2.26768625188004,0.189003333987711
0.3,0.06726480341108,-0.109445605506865,0.465554129772149,-1.12691947237702,-0.228917956147187,3.29056612911582,0.248763779184058,2.179627510311,0.183425648282708
0.302,0.0681935288008818,-0.111698156754673,0.46494146816452,-1.13443171821031,-0.222282444228849,3.39371884808521,0.246391310004588,2.09272107990353,0.177688718726777
0.304,0.0691209752891125,-0.113965150561403,0.464226619979927,-1.1414060199811,-0.215443949389358,3.49388082277978,0.243807384819395,2.0071588723813,0.171796777888161
0.306,0.0700469833717437,-0.116245470433988,0.463415193859093,-1.14783730207165,-0.208408759368798,3.59101377175767,0.241014705628483,1.92313279946801,0.165754058335102
0.308,0.070971393544747,-0.118537999879359,0.462512798442739,-1.1537204888642,-0.20118316190725,3.68507941357705,0.238015974431853,1.84083477288733,0.159564792635845
0.31,0.0718940463040941,-0.120841622404449,0.461525042371588,-1.15905050474099,-0.193773444744797,3.77603946679605,0.23481389322951,1.760455918685,0.153233228040896
0.312,0.0728147821457565,-0.123155221516189,0.460457534286362,-1.16382227408425,-0.18618589562152,3.86385564997284,0.231411164021458,1.68216929231425,0.14676394949285
0.314,0.073733441565706,-0.125477680721513,0.459315882827782,-1.16803072127623,-0.178426802277502,3.94848968166556,0.227810488807699,1.60612987863573,0.140161879626384
0.316,0.0746498650599142,-0.127807883527352,0.458105696636572,-1.17167077069917,-0.170502452452825,4.02990328043235,0.224014569588238,1.5324918768322,0.133431955758443
0.318,0.0755638931243526,-0.130144713440638,0.456832584353451,-1.17473734673531,-0.162419133887571,4.10805816483138,0.220026108363077,1.46140948608637,0.12657911520597
0.32,0.076475366254993,-0.132487053968304,0.455502154619144,-1.17722537376689,-0.154183134321821,4.18291605342079,0.21584780713222,1.39303690558099,0.11960829528591
0.322,0.0773841421689224,-0.13483379179983,0.454119868639008,-1.17913178630355,-0.145800712622686,4.25445431253673,0.211482576475773,1.32752833449879,0.112524433315204
0.324,0.0782901474676899,-0.137183826354889,0.452690597876952,-1.18046155936447,-0.13727801216538,4.32271289962733,0.206934161294252,1.26503797202251,0.105332466610798
0.326,0.0791933259739601,-0.139536060235703,0.451219066361521,-1.18122167809625,-0.128621147452145,4.38774741991872,0.202206515068276,1.20572001733488,0.098037332489634
0.328,0.0800936215103977,-0.141889396044493,0.449709998121261,-1.18141912764547,-0.119836232985224,4.44961347863704,0.197303591278462,1.14972866961864,0.0906439682686564
